	MedCodeId	Observations	Term	SnomedCTConceptId	type_alc	type_non_alc	type_unknown
363	a11267010	9	Indian childhood cirrhosis	6183001	0	1	0
148670	a3427151000006119	9	Bleeding varices	57052009	0	0	1
68956	a211821000006111	8	Postnecrotic cirrhosis of liver	43904005	0	1	0
153813	a3951661000006115	7	Ascites tap	89305009	0	0	1
151437	a3713561000006119	6	Cardiac cirrhosis	74669004	0	1	0
238552	a8032261000006117	6	Cirrhosis of liver due to hepatitis B	1.03611E+14	0	1	0
156715	a4353641000006110	6	Toxic cirrhosis	123604002	0	0	1
194846	a7474871000006119	6	Tense ascites	470757009	0	0	1
103690	a987751000006119	5	Oesophageal varices injected	173660005	0	0	1
211017	a2704151000006118	5	Varices	12856003	0	0	1
60907	a2579818016	5	Laennec's cirrhosis	419728003	1	0	0
221807	a5076881000006115	5	Sclerotherapy of oesophageal varices	235201007	0	0	1
208011	a14146411000006112	5	Oesophageal varices due to cirrhosis of liver	897004000	0	0	1
28896	a303433015	4	Pigmentary portal cirrhosis	197299004	0	1	0
28904	a303452014	4	Biliary cirrhosis of children	197310003	0	1	0
159126	a4656741000006118	4	Fibreoptic oesophagoscopy and injection sclerotherapy of varices	173639004	0	0	1
221803	a5076631000006115	4	Operation on oesophageal varices	235184005	0	0	1
209125	a3634160014	4	Ultrasound of abdomen for ascites	1.64461E+16	0	0	1
208789	a3515305014	4	Cirrhosis of liver with primary sclerosing cholangitis	735733008	0	1	0
165936	a5086841000006119	4	Chronic hepatic failure	235886005	0	0	1
196268	a7663341000006110	4	Child-Pugh score class A	710065009	0	0	1
147699	a3331291000006117	4	Hepatorenal failure	51292008	0	0	1
215825	a3713571000006114	4	Congestive cirrhosis	74669004	0	1	0
194141	a7329261000006119	3	Banding of gastric varices	446740007	0	0	1
28897	a303435010	3	Toxic portal cirrhosis	197301006	0	1	0
28892	a303414013	3	Unilobular portal cirrhosis	197291001	0	1	0
212327	a2960631000006115	3	OV - Oesophageal varices	28670008	0	0	1
142502	a2816681000006110	3	CL - Cirrhosis of liver	19943007	0	0	1
44875	a396390012	3	Multilobular portal cirrhosis	266469006	0	1	0
202951	a8458711000006115	3	Ascites due to alcoholic cirrhosis	1.0826E+15	1	0	0
42343	a353621011	3	"Laennec's cirrhosis, non-alcoholic"	235895002	0	1	0
65837	a114801000006118	3	Tanner devascularisation for bleeding varices	173617001	0	0	1
208012	a14146421000006116	2	Oesophageal varices due to cirrhosis of liver caused by alcohol	897005004	1	0	0
196270	a7663361000006114	2	Child-Pugh score class C	710067001	0	0	1
212767	a3059491000006115	2	PHT - Portal hypertension	34742003	0	0	1
219787	a4779751000006116	2	"Oesophageal varices without bleeding, associated with another disorder"	195476002	0	0	1
219430	a4656791000006110	2	Fiberoptic endoscopic banding of esophageal varices	173641003	0	0	1
184611	a5966791000006112	2	Infected ascites	307311001	0	0	1
143962	a2960621000006118	2	Esophageal varices	28670008	0	0	1
28898	a303437019	2	Bacterial portal cirrhosis	197303009	0	1	0
142160	a2781021000006110	2	Bleeding esophageal varices	17709002	0	0	1
237292	a7763571000006119	2	Gastric varices without bleeding	717865007	0	0	1
233477	a6941941000006119	2	PC - Portal cirrhosis	419728003	0	1	0
233894	a7065101000006116	2	Fiberoptic endoscopic rubber band ligation of upper gastrointestinal tract varices	426841006	0	0	1
62529	a3633691013	2	Ultrasound scan of abdomen for ascites	1.64461E+16	0	0	1
64281	a55851000006118	2	Xanthomatous portal cirrhosis	271440004	0	1	0
174397	a5524681000006114	2	Cirrhosis secondary to cholestasis	271440004	0	1	0
160749	a4779691000006115	2	Oesophageal varices associated with another disorder	195474004	0	0	1
160750	a4779721000006113	2	"Oesophageal varices with bleeding, associated with another disorder"	195475003	0	0	1
215738	a3691701000006116	1	Endoscopic injection of oesophageal varices	73282006	0	0	1
221813	a5077531000006117	1	Sclerotherapy of gastric varices	235236006	0	0	1
225704	a5493051000006111	1	Cirrhosis of liver not due to alcohol	266468003	0	1	0
237505	a7813031000006112	1	Downhill varices of oesophagus	721160006	0	0	1
233818	a7043971000006117	1	Drug-induced cirrhosis of liver	425413006	0	1	0
142501	a2816671000006112	1	Hepatic cirrhosis	19943007	0	0	1
142818	a2847631000006117	1	Micronodular cirrhosis	21861000	0	0	1
28901	a303440019	1	Zooparasitic portal cirrhosis	197306001	0	1	0
28900	a303439016	1	Syphilitic portal cirrhosis	197305002	0	1	0
69960	a226161000006113	1	Pipe-stem portal cirrhosis	197300007	0	1	0
194142	a7329361000006112	1	Endoscopy of upper gastrointestinal tract and banding of gastric varices	446743009	0	0	1
194140	a7329201000006115	1	Endoscopy of upper gastrointestinal tract and banding of oesophageal varices	446739005	0	0	1
194847	a7474881000006116	1	Refractory ascites	470758004	0	0	1
197754	a7966981000006110	1	Cirrhosis of liver due to chronic hepatitis C	8.31E+11	0	1	0
196269	a7663351000006112	1	Child-Pugh score class B	710066005	0	0	1
212026	a2896171000006116	1	Bleeding gastric varices	24807004	0	0	1
159138	a4657181000006114	1	Rigid esophagoscopic banding of esophageal varices	173661009	0	0	1
159136	a4657131000006113	1	Rigid oesophagoscopy and injection sclerotherapy of varices	173660005	0	0	1
156733	a4355091000006112	1	Latent cirrhosis	123716002	0	0	1
153811	a3951631000006112	1	Aspiration of ascites	89305009	0	0	1
