	medcodeid	observations	term	snomedctconceptid	Typei	Typeii	unknowntype/other
208	a297758012	20000	Diabetic retinopathy NOS	4855003	0	0	1
209	a1876341000006117	20000	Diabetic 3 month review	1.88E+15	0	0	1
210	a1799541000000117	20000	Insulin passport completed	8.05E+14	0	0	1
212	a547191000000117	20000	Did not attend diabetes structured education programme	3.07E+14	0	0	1
213	a787111000006112	20000	IDDM-Insulin dependent diabetes mellitus	73211009	0	0	1
214	a987441000006113	20000	Six month diabetic review	9.87E+14	0	0	1
215	a1767201000006118	20000	Diabetic pre-pregnancy education	394684000	0	0	1
216	a2227981000000110	10000	Diabetic foot screening invitation second letter	8.62E+14	0	0	1
217	a857971000006110	10000	Right non-proliferative diabetic retinopathy	8.58E+14	0	0	1
218	a857761000006118	10000	Right diabetic foot low current risk	8.58E+14	0	0	1
219	a817481000006113	10000	Haemoglobin A1c greater than 10% indicating poor diabetic control	165681007	0	0	1
220	a616461000006112	10000	Diabetes mellitus with renal manifestation	127013003	0	0	1
221	a616621000006115	10000	Type 1 diabetes mellitus without complication	313435000	1	0	0
223	a546871000000112	10000	Referral to DAFNE diabetes structured education programme	3.07E+14	0	0	1
224	a643691000000114	10000	Insulin initiation enhanced services administration	3.45E+14	0	0	1
225	a1799241000000115	10000	Insulin alert patient information booklet given	8.05E+14	0	0	1
226	a1839671000006113	10000	Diabetic short review	1.84E+15	0	0	1
227	a1842001000006118	10000	Diabetic annual review by practice nurse	1.84E+15	0	0	1
228	a1850931000006111	10000	Reason for influenza vaccine - diabetes mellitus	1.85E+15	0	0	1
229	a309177010	10000	Ischaemic ulcer diabetic foot	201250006	0	0	1
230	a1804191000006114	10000	Diabetic retinopathy screen done by optician	1.80E+15	0	0	1
231	a1947151000006112	10000	Joint consultation with practice nurse and community diabetes specialist nurse	9.57E+14	0	0	1
232	a1824571000006112	10000	Referral to walking away from diabetes programme	1.82E+15	0	0	1
233	a264717015	10000	Diabetic - cooperative patient	170769004	0	0	1
234	a2460251000000115	10000	Diabetic on non-insulin injectable medication	719566006	0	1	0
235	a264720011	10000	Date diabetic treatment start	170772006	0	0	1
236	a2288061000000111	10000	Type II diabetes mellitus in remission	703138006	0	1	0
237	a264704018	10000	Diabetic drug side effects	170760000	0	0	1
238	a857031000006113	10000	Left non-proliferative diabetic retinopathy	8.57E+14	0	0	1
239	a1916521000006118	10000	Access to online patient diabetes education given	1.92E+15	0	0	1
240	a856551000006114	10000	Diabetic - hospital eye check	8.57E+14	0	0	1
241	a2159955012	10000	Under care of diabetologist	408391001	0	0	1
242	a461270012	10000	[V]Screening for diabetes mellitus	171183004	0	0	1
243	a910501000006113	10000	[RFC] Diabetic foot ulcer	9.11E+14	0	0	1
244	a2549778010	10000	Seen in diabetic nurse consultant clinic	417566006	0	0	1
245	a928501000006119	10000	Ketoacidosis in type 1 diabetes mellitus	420270002	1	0	0
246	a8439961000006111	10000	Diabetes monitoring SMS (short message service) text message second invitation	1.07E+15	0	0	1
247	a1220321013	10000	Diabetes mellitus arising in pregnancy	11687002	0	0	1
248	a1479985016	10000	Insulin administration education	385793003	0	0	1
249	a1704651000006111	10000	Diabetic retinopathy screening administrative status	3.73E+14	0	0	1
250	a1694761000006113	10000	Newly diagnosed diabetes	405749004	0	0	1
251	a1682711000006119	10000	Declined referral to DESMOND diabet. structured educat programme	1.68E+15	0	0	1
252	a1628621000006112	10000	Did not attend DESMOND diabetes structured education programme	3.07E+14	0	0	1
253	a546221000000114	10000	DESMOND diabetes structured education programme completed	3.07E+14	0	0	1
254	a1484875010	10000	Seen by diabetologist	390842003	0	0	1
255	a13949611000006116	10000	No maculopathy of left eye due to diabetes mellitus	860709007	0	0	1
256	a13949641000006117	10000	No maculopathy of right eye due to diabetes mellitus	860710002	0	0	1
257	a297551015	10000	Chronic painful diabetic neuropathy	193184006	0	0	1
258	a1621011000006115	10000	No evidence of diabetic peripheral neuropathy	1.62E+15	0	0	1
259	a12121371000006111	10000	Diabetes structured education programme offered	1.10E+15	0	0	1
260	a292590011	10000	Type II diabetes mellitus poorly controlled	443694000	0	1	0
261	a292466013	10000	Diabetes mellitus without complication	111552007	0	0	1
262	a299991000000112	10000	Referral to multidisciplinary diabetic clinic	1.99E+14	0	0	1
263	a127041000006110	10000	Steroid-induced diabetes	190447002	0	1	0
264	a5999771000006115	10000	Diabetes monitoring invitation	310425007	0	0	1
265	a457329019	9000	Type 2 diabetes mellitus without complication	313436004	0	1	0
266	a2205911000000116	9000	Diabetes clinical pathway	8.52E+14	0	0	1
267	a1628691000006114	9000	Seen by general practitioner with special interest in diabetes	3.01E+14	0	0	1
268	a856691000006116	9000	Left diabetic foot low current risk	8.57E+14	0	0	1
269	a479511000000117	9000	Diabetes type 1 review	2.79E+14	1	0	0
270	a297552010	9000	Asymptomatic diabetic neuropathy	193185007	0	0	1
271	a616971000006114	9000	Diabetic Charcot's arthropathy	201724008	0	0	1
273	a12623631000006115	8000	Referral to online diabetes structured education programme	1.11E+15	0	0	1
274	a259365016	8000	Glucose tolerance test indicates diabetes mellitus	166928007	0	0	1
275	a14920031000006112	8000	NHS diabetic eye screening programme	1.60E+15	0	0	1
276	a8098931000006110	8000	Referral to diabetes education and self management for ongoing and newly diagnosed diabetes structured programme	3.07E+14	0	0	1
277	a1759911000000118	8000	Diabetes care plan declined	7.87E+14	0	0	1
278	a251187019	8000	Diabetic association member	161102006	0	0	1
279	a6953861000006110	8000	Diabetic ketoacidosis	420422005	1	0	0
280	a12121381000006114	8000	Diabetic retinopathy screening offered	1.10E+15	0	0	1
281	a1690631000000113	8000	Did not attend diabetes foot screening	7.63E+14	0	0	1
282	a1665721000000112	8000	Type 2 diabetic dietary review	7.54E+14	0	1	0
283	a307661000000114	8000	Referral to diabetic register	2.02E+14	0	0	1
284	a281171000006119	8000	Type II diabetes mellitus uncontrolled	443694000	0	1	0
285	a1775381000006118	8000	Referred to Diabetes Service	1.78E+15	0	0	1
286	a73294018	8000	Diabetic cataract	43959009	0	0	1
287	a764191000006112	8000	Foot abnormality - diabetes related	280137006	0	0	1
288	a14667031000006117	8000	Diabetic retinopathy screening declined	413122001	0	0	1
289	a300021000000110	8000	Seen in multidisciplinary diabetic clinic	1.99E+14	0	0	1
290	a214921000006116	8000	Polyneuropathy in diabetes	49455004	0	0	1
291	a2288071000000116	8000	Type 2 diabetes mellitus in remission	703138006	0	1	0
292	a1967341000006115	7000	Not suitable for DESMOND (Diabetes Education and Self Management for Ongoing and Newly Diagnosed) programme	720504004	0	0	1
293	a546291000000112	7000	XPERT diabetes structured education programme completed	3.07E+14	0	0	1
294	a1966311000006116	7000	Diabetic on oral treatment and glucagon-like peptide 1 receptor agonist	9.76E+14	0	0	1
295	a298811000000118	7000	Insulin therapy declined	1.98E+14	0	0	1
296	a1682761000006116	7000	Advice given about insulin storage	1.97E+14	0	0	1
297	a616821000006116	7000	Diabetes wellbeing questionnaire	273413007	0	0	1
298	a1754911000006114	7000	Excepted from diabetes quality indicators: service unavailable	7.51E+14	0	0	1
299	a620171000000113	7000	Referral to diabetes special interest general practitioner	3.35E+14	0	0	1
300	a189831000000116	6000	Informed consent for diabetes national audit	1.13E+14	0	0	1
301	a6022921000006114	6000	Diabetic macular oedema	312912001	0	0	1
302	a1230890017	6000	Autonomic neuropathy due to diabetes	50620007	0	0	1
303	a1856651000006110	6000	Diabetes monitoring in secondary care	1.86E+15	0	0	1
304	a2160025013	6000	Diabetic medicine	408475000	0	0	1
305	a905621000006113	6000	[RFC] Diabetes	9.06E+14	0	0	1
306	a1824581000006110	6000	Referral to walking away from diabetes programme declined	1.82E+15	0	0	1
307	a285752011	6000	Refuses diabetes monitoring	185754009	0	0	1
308	a1227774019	6000	[V]Dietary counselling in diabetes mellitus	284350006	0	0	1
309	a2230301000000116	6000	Diabetic foot screening invitation third letter	8.62E+14	0	0	1
310	a297550019	6000	Acute painful diabetic neuropathy	193183000	0	0	1
311	a2674067015	6000	Latent autoimmune diabetes mellitus in adult	426875007	0	0	1
312	a297755010	5000	Advanced diabetic maculopathy	193350004	0	0	1
313	a737331000000117	5000	Excluded from diabetic retinopathy screening	3.75E+14	0	0	1
314	a3603911000006118	5000	Insulin	67866001	0	0	1
315	a548131000000119	5000	Did not attend XPERT diabetes structured education programme	3.07E+14	0	0	1
316	a546001000000113	5000	Attended XPERT diabetes structured education programme	3.06E+14	0	0	1
317	a1966441000006113	5000	Recommendation to self-refer for diabetes structured education	9.77E+14	0	0	1
318	a616241000006112	5000	Diabetes mellitus induced by steroids	190447002	0	1	0
319	a1947161000006114	5000	Joint consultation with General Practitioner and community diabetes specialist nurse	9.57E+14	0	0	1
320	a8060931000006110	5000	No diabetic retinopathy	2.01E+14	0	0	1
321	a881501000006110	5000	Diabetes + neuropathy	230572002	0	0	1
322	a1776581000006117	5000	Reason for referral: Diabetes	1.78E+15	0	0	1
323	a1884591000006118	5000	Further diabetic monitoring	170742000	0	0	1
324	a457328010	5000	Non-insulin-dependent diabetes mellitus without complication	313436004	0	1	0
325	a881441000006111	5000	Diabetes mellitus - juvenile	73211009	1	0	0
326	a299211000000114	5000	Insulin needles changed for each injection	1.98E+14	0	0	1
327	a914151000006112	5000	Retinopathy with type 2 diabetes mellitus	422034002	0	1	0
328	a914261000006119	5000	Diabetes type 2 with nephropathy	420279001	0	1	0
329	a299601000000114	5000	Gastroparesis with type 1 diabetes mellitus	713702000	1	0	0
330	a975251000006111	4000	O/E - right eye stable treated proliferative diabetic retinopathy	414910007	0	0	1
331	a2548633012	4000	Provision of patient held diabetes record refused	763782001	0	0	1
332	a292475010	4000	Diabetes mellitus NOS with no mention of complication	111552007	0	0	1
333	a1488406011	4000	Diabetic pre-pregnancy counselling	394684000	0	0	1
334	a283544013	4000	Diabetic emergency hospital admission	183472000	0	0	1
335	a1573121000006119	4000	Insulin started by GP	1.57E+15	0	0	1
336	a1177721000000112	4000	Diabetic on subcutaneous treatment	5.28E+14	0	0	1
337	a2532967014	4000	Clinically significant macular oedema of right eye due to diabetes mellitus	769221001	0	0	1
338	a2337941000000112	4000	Diabetes Distress Scale 2 item score	9.09E+14	0	0	1
339	a1799591000000110	4000	Informed dissent not to carry insulin passport	8.05E+14	0	0	1
340	a616441000006113	4000	Peripheral vascular disorder due to diabetes mellitus	421895002	0	0	1
