	medcodeid	observations	term	snomedctconceptid	Typei	Typeii	unknowntype/other
468	a391111000006119	800	Adverse reaction to antidiabetic drug	430400006	0	0	1
469	a1785163015	800	High risk proliferative diabetic retinopathy	312907002	0	0	1
470	a1583861000006110	800	Ineligibility for diabetic eye screening: Persistent DNA	1.58E+15	0	0	1
471	a306112011	800	"Pre-existing diabetes mellitus, insulin-dependent"	3.85E+14	0	0	1
472	a2500921000000110	800	Diabetic carbohydrate counting diet	9.83E+14	0	0	1
473	a2532976019	800	O/E - left chronic diabetic foot ulcer	414890007	0	0	1
474	a189841000000113	800	Informed dissent for diabetes national audit	1.13E+14	0	0	1
475	a616381000006111	800	Diabetes mellitus with ketoacidotic coma	26298008	0	0	1
476	a616491000006116	800	"Diabetes mellitus, adult onset, + ophthalmic manifestation"	422099009	0	1	0
477	a459313016	800	Type 2 diabetes mellitus with neuropathic arthropathy	314904008	0	1	0
478	a2532977011	700	O/E - right chronic diabetic foot ulcer	414906009	0	0	1
479	a282568013	700	Diabetic crisis monitoring	182780004	0	0	1
480	a1935341000006117	700	Patient in diabetes study	1.94E+15	0	0	1
481	a2262381000000117	700	Conversion to insulin by diabetes specialist nurse	8.76E+14	0	1	0
482	a297492014	700	Diabetic mononeuritis multiplex	193141005	0	0	1
483	a356085010	700	Maturity onset diabetes in youth type 2	237604008	0	1	0
484	a4636411000006110	700	Diet controlled diabetes mellitus	170745003	0	1	0
485	a3515955014	700	Diabetes self management plan	735985000	0	0	1
486	a772181000006112	700	Insulin dependent diabetes mellitus - poor control	268519009	0	0	1
487	a1628311000006111	700	Did not complete XPERT diabetes structured education programme	3.07E+14	0	0	1
488	a1065811000000118	700	Discharged from diabetes shared care programme	4.95E+14	0	0	1
489	a2532974016	700	Transition of diabetes care options discussed	415744000	0	0	1
490	a881511000006113	700	Diabetes + periph.circulat.dis	422275004	0	0	1
491	a640011000006114	700	Emergency Diabetic Admission since last appointment	6.40E+14	0	0	1
492	a299191000000110	700	Insulin needles changed daily	1.98E+14	0	0	1
493	a913711000006112	700	Insulin dependent diabetes maturity onset	73211009	0	0	1
494	a84661000006111	700	Type I diabetes mellitus poorly controlled	444073006	1	0	0
495	a65526011	700	Diabetic amyotrophy	39058009	0	0	1
496	a616531000006116	700	"Diabetes mellitus, adult onset, with ketoacidosis"	421750000	0	0	1
497	a587521000006111	700	Non-insulin-dependent diabetes mellitus with renal comps	420279001	0	1	0
498	a303846016	700	Nephrotic syndrome in diabetes mellitus	197605007	0	0	1
499	a292523015	700	Diabetes mellitus NOS with peripheral circulatory disorder	421895002	0	0	1
500	a127051000006112	600	Steroid-induced diabetes mellitus without complication	190416008	0	1	0
501	a84851000006110	600	Type II diabetes mellitus - poor control	443694000	0	1	0
502	a84291000006117	600	Type 1 diabetes mellitus - poor control	444073006	1	0	0
503	a881461000006110	600	Diabetes+ketoacidosis -no coma	420422005	1	0	0
504	a84551000006113	600	Type 2 diabetes mellitus with nephropathy	420279001	0	1	0
505	a616501000006112	600	Disorder due to type 2 diabetes mellitus	422014003	0	1	0
506	a616551000006111	600	"Diabetes mellitus, adult onset, with renal manifestation"	420279001	0	1	0
507	a616581000006115	600	"Diabetes mellitus, adult, + peripheral circulatory disorder"	422166005	0	0	1
508	a641581000006115	600	Non-insulin-dependent diabetes mellitus with retinopathy	422034002	0	1	0
509	a2265851000000114	600	Insulin passport not checked	8.78E+14	0	0	1
510	a1823921000006119	600	Diabetes mellitus confirmed	1.82E+15	0	0	1
511	a840971000006112	600	Diabetes mellitus autosomal dominant type II	237604008	0	1	0
512	a1583921000006113	600	Ineligibility for diabetic eye screening: Deceased	1.58E+15	0	0	1
513	a292622015	600	Diabetes mellitus with unspecified complication	74627003	0	0	1
514	a292480018	600	Diabetes mellitus with hyperosmolar coma	422126006	0	1	0
515	a928511000006116	600	Type I diabetes mellitus with ketoacidosis	420270002	1	0	0
516	a283584016	600	Non-urgent diabetic admission	183506001	0	0	1
517	a1665751000000119	600	Type 1 diabetic dietary review	7.54E+14	1	0	0
518	a841011000006112	600	Severe nonproliferative diabetic retinopathy	312905005	0	0	1
519	a483882011	500	Maturity-onset diabetes of the young	609561005	1	0	0
520	a746791000006111	500	Insulin-dependent diabetes without complication	111552007	0	0	1
521	a857721000006112	500	Right diabetic foot high risk	8.58E+14	0	0	1
522	a454092018	500	Diabetic hyperosmolar non-ketotic state	310505005	0	1	0
523	a928551000006115	500	Type II diabetes mellitus with persistent proteinuria	421986006	0	1	0
524	a7086021000006115	500	Dietary advice for type II diabetes	428274007	0	1	0
525	a7086001000006113	500	Dietary education for type 2 diabetes mellitus	428274007	0	1	0
526	a6348911000006117	500	Diabetic foot ulcer	371087003	0	0	1
527	a8098861000006114	500	Referral to dose adjustment for normal eating diabetes structured education programme	3.07E+14	0	0	1
528	a928521000006112	500	Ketoacidotic coma in type 1 diabetes mellitus	421075007	1	0	0
529	a4808921000006113	500	Diabetic neuropathic arthropathy	201724008	0	0	1
530	a84921000006110	500	Renal disorder due to type 2 diabetes mellitus	420279001	0	1	0
532	a377001000006117	500	[X]Diabetes mellitus	73211009	0	0	1
533	a14500421000006119	500	Haemoglobin A1c between 7 percent to 10 percent indicating borderline diabetic control	165680008	0	0	1
534	a616831000006118	500	Diabetes with gangrene	422275004	0	0	1
535	a587111000006111	500	Non-insulin-dependent diabetes mellitus with ophthalm comps	422099009	0	1	0
536	a5979491000006119	500	Diabetes monitoring call	308505000	0	0	1
537	a2476117016	500	Maturity onset diabetes in youth type 1	609562003	1	0	0
538	a548121000000116	500	Did not attend DAFNE diabetes structured education programme	3.07E+14	0	0	1
539	a772151000006116	500	Insulin dependent diabetes maturity onset	73211009	0	0	1
540	a308110013	400	Pre-existing diabetes mellitus	3.85E+14	0	0	1
541	a674961000006118	400	Peripheral circulatory disorder associated with type 2 diabetes mellitus	422166005	0	1	0
542	a1704681000006115	400	Eligibility temporarily inactive for diabetic retinopathy screening	3.72E+14	0	0	1
543	a850691000006118	400	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	395204000	0	1	0
544	a1667921000000117	400	Type II diabetes mellitus with gastroparesis	713703005	0	1	0
545	a1673581000006117	400	Ineligibility for diabetic eye screening: Physical disability	1.67E+15	0	0	1
546	a429971019	400	Unstable type 1 diabetes mellitus	290002008	1	0	0
547	a457326014	400	Type 1 diabetes mellitus without complication	313435000	1	0	0
548	a306110015	400	Diabetes mellitus during pregnancy - baby not yet delivered	199227004	0	0	1
549	a306108017	400	Diabetes mellitus during pregnancy - baby delivered	199225007	0	0	1
550	a8413691000006118	400	X-PERT (expert patient education versus routine treatment) First Steps diabetes self-management programme completed	1.03E+15	0	0	1
551	a285759019	400	Diabetes monitoring deleted	185761008	0	0	1
552	a292478012	400	Other specified diabetes mellitus with ketoacidosis	420422005	1	0	0
553	a1920661000006119	400	Unsuitable for DESMOND diabetes structured education programme	1.92E+15	0	0	1
554	a6953901000006115	400	DKA - diabetic ketoacidosis	420422005	1	0	0
555	a5109611000006116	400	MODY - Maturity onset diabetes in youth type 2	237604008	0	1	0
556	a887971000006115	400	Preg.+ diabetes mellitus	199223000	0	0	1
557	a8043301000006116	400	Hyperlipidaemia due to type 2 diabetes mellitus	1.38E+14	0	1	0
558	a84741000006118	400	Type I diabetes mellitus with nephropathy	421893009	1	0	0
559	a913481000006113	400	Type 1 diabetes mellitus with ophthalmic complications	739681000	1	0	0
560	a7483291000006111	400	Symptomatic diabetic peripheral neuropathy absent	473134007	0	0	1
561	a856671000006117	400	Left diabetic foot high risk	8.57E+14	0	0	1
562	a280591000006115	400	Non-insulin-dependent diabetes mellitus with neuro comps	421326000	0	1	0
563	a301161000000113	400	Insulin needles changed less than once a day	1.99E+14	0	0	1
564	a938301000006114	400	Exudative maculopathy with type 1 diabetes mellitus	420486006	1	0	0
565	a14084041000006114	400	Persistent proteinuria due to type 2 diabetes mellitus	421986006	0	1	0
566	a6444051000006119	400	Diabetic care	385804009	0	0	1
567	a616351000006115	400	Diabetes mellitus with gangrene	422275004	0	0	1
568	a1539131000006115	400	Referral for diabetic retinopathy screening	1.54E+15	0	0	1
569	a857441000006114	300	Right advanced diabetic retinal disease	8.57E+14	0	0	1
570	a283889016	300	Diabetology D.V. requested	183722003	0	0	1
571	a7381691000006117	300	Insulin pump present	450657002	0	0	1
572	a8098321000006111	300	Diabetes education and self management for ongoing and newly diagnosed structured programme completed	3.07E+14	0	0	1
573	a8099311000006114	300	Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme	3.07E+14	0	0	1
574	a14500411000006110	300	Haemoglobin A1c less than 7 percent indicating good diabetic control	165679005	0	0	1
575	a82979011	300	Neonatal diabetes mellitus	49817004	0	0	1
576	a2597931000006119	300	Diabetic education	6143009	0	0	1
577	a292626017	300	Diabetic complication	74627003	0	0	1
578	a1744471000006112	300	Needs carer to administer insulin	1.74E+15	0	0	1
579	a1139821000000110	300	Unsuitable for diabetes year of care programme	5.13E+14	0	0	1
580	a1744461000006117	300	Self-administration of insulin	1.74E+15	0	0	1
581	a292583018	300	Type 2 diabetes mellitus with gangrene	421631007	0	1	0
582	a292503016	300	Diabetes mellitus NOS with ophthalmic manifestation	25093002	0	0	1
583	a8459531000006110	300	Diabetes monitoring invitation email	1.08E+15	0	0	1
584	a12734741000006114	300	Registration for access to online diabetes self-management application	1.44E+14	0	0	1
585	a856651000006110	300	Left advanced diabetic retinal disease	8.57E+14	0	0	1
586	a1704781000006114	300	Excluded from diabetic retinopathy screening as terminal illness	3.75E+14	0	0	1
587	a13751000006117	300	Other specified diabetes mellitus with multiple comps	3.85E+14	0	0	1
588	a8027521000006110	300	Microalbuminuria due to type 2 diabetes mellitus	9.08E+13	0	1	0
589	a1227832019	300	[V]Screening for diabetes mellitus (DM)	171183004	0	0	1
590	a1583911000006117	300	Ineligibility for diabetic eye screening: Under ophthalmic care	1.58E+15	0	0	1
591	a771411000006117	300	Insulin dependent diabetes mellitus with retinopathy	4855003	0	0	1
592	a1667941000000112	300	Type I diabetes mellitus with gastroparesis	713702000	1	0	0
593	a8297051000006113	300	Referral to DAFNE (dose adjustment for normal eating) diabetes structured education programme declined	8.61E+14	0	0	1
594	a881521000006117	300	Diabetes + other complications	6.58E+14	0	0	1
595	a84731000006111	300	Multiple complications of type 1 diabetes mellitus	422228004	1	0	0
596	a2249951000000114	300	In-house diabetic foot screening follow-up appointment	8.71E+14	0	0	1
597	a14918991000006115	300	Basal-bolus insulin regime	1.52E+15	0	0	1
598	a12117381000006110	300	Referral for diabetic care	1.10E+15	0	0	1
599	a12115561000006115	300	Remote diabetes structured education and support programme commenced	1.10E+15	0	0	1
600	a914301000006111	300	Type 2 diabetes mellitus with diabetic cataract	420756003	0	1	0
601	a8259591000006113	300	Referral to diabetic clinic	8.09E+14	0	0	1
602	a913681000006111	300	Insulin dependent diabetes mellitus - poor control	268519009	0	0	1
603	a280581000006118	300	Non-insulin-dependent diabetes mellitus with multiple complications	190388001	0	1	0
604	a12010091000006116	300	Provision of patient held diabetes record	763783006	0	0	1
605	a1583931000006111	300	Ineligibility for diabetic eye screening: Moved away	1.58E+15	0	0	1
606	a616211000006113	300	Diabetes mellitus in pregnancy/childbirth/puerperium NOS	199223000	0	0	1
607	a14136361000006117	300	Ketosis-prone diabetes mellitus	890171006	0	0	1
608	a457327017	300	Insulin-dependent diabetes without complication	111552007	0	0	1
609	a354316011	300	Kidney disorder due to diabetes mellitus	127013003	0	0	1
610	a280551000006114	300	Non-insulin-dependent diabetes mellitus with ulcer	190389009	0	1	0
611	a449540010	200	Discharge by diabetic liaison nurse	306499007	0	0	1
612	a84671000006116	200	Type I diabetes mellitus maturity onset	190372001	1	0	0
613	a459308015	200	Type 2 diabetes mellitus with peripheral angiopathy	314902007	0	1	0
614	a459310018	200	Type 2 diabetes mellitus with arthropathy	314903002	0	1	0
615	a6022581000006116	200	Mild non-proliferative diabetic retinopathy	312903003	0	0	1
616	a213141000006111	200	"Pre-existing diabetes mellitus, unspecified"	3.85E+14	0	0	1
617	a616561000006113	200	"Diabetes mellitus, adult with gangrene"	421631007	0	0	1
618	a616451000006110	200	Diabetes mellitus with polyneuropathy	49455004	0	0	1
619	a913651000006115	200	Insulin dependent diabetes mellitus with retinopathy	4855003	0	0	1
620	a914221000006113	200	Type 2 diabetes mellitus with mononeuropathy	420436000	0	1	0
621	a913441000006119	200	Insulin-dependent diabetes mellitus with renal complications	127013003	0	0	1
622	a297964010	200	Diabetic iritis	193489006	0	0	1
623	a771361000006113	200	Insulin dependent diabetes mellitus with hypoglycaemic coma	237632004	0	0	1
624	a84611000006113	200	Type 2 diabetes mellitus with renal complications	420279001	0	1	0
625	a459296014	200	Type 1 diabetes mellitus with neuropathic arthropathy	7.18E+13	1	0	0
626	a12086281000006113	200	Diabetic maculopathy of right eye	769244003	0	0	1
627	a459161015	200	Type 1 diabetes mellitus with hypoglycaemic coma	314771006	1	0	0
628	a84541000006111	200	Type 2 diabetes mellitus with multiple complications	190388001	0	1	0
629	a459167016	200	Type 2 diabetes mellitus with hypoglycaemic coma	719216001	0	1	0
630	a6022721000006112	200	Proliferative diabetic retinopathy - high risk	312907002	0	0	1
631	a84371000006110	200	Type 1 diabetes mellitus with nephropathy	421893009	1	0	0
632	a12086331000006116	200	Diabetic maculopathy of left eye	769245002	0	0	1
633	a399419012	200	Myasthenic syndrome due to diabetic amyotrophy	267604001	0	0	1
634	a457157017	200	[V]Admitted for commencement of insulin	3.45E+14	0	0	1
635	a622221000000118	200	Maternally inherited diabetes mellitus	3.36E+14	0	0	1
636	a771381000006115	200	Insulin dependent diabetes mellitus with multiple complicatn	3.85E+14	0	0	1
637	a616601000006113	200	"Diabetes mellitus, juvenile type, + ophthalmic manifestation"	739681000	1	0	0
638	a14092431000006119	200	Disorder of right macula due to diabetes mellitus	769244003	0	0	1
639	a14092441000006112	200	Disorder of left macula due to diabetes mellitus	769245002	0	0	1
640	a8286851000006116	200	Education about diabetic retinopathy	8.47E+14	0	0	1
641	a84581000006117	200	Type 2 diabetes mellitus with ophthalmic complications	422099009	0	1	0
642	a771491000006110	200	Insulin-dependent diabetes mellitus with ophthalmic comps	25093002	0	0	1
643	a913471000006110	200	Insulin-dependent diabetes mellitus with ophthalmic comps	25093002	0	0	1
644	a1932051000006114	200	3D study - problems with diabetes management	1.93E+15	0	0	1
645	a317348017	200	[D]Widespread diabetic foot gangrene	195303005	0	0	1
646	a1704791000006112	200	Excluded from diabetic retinopathy screening as learning disability	3.75E+14	0	0	1
647	a1704691000006117	200	Eligibility permanently inactive for diabetic retinopathy screening	3.72E+14	0	0	1
648	a280531000006119	200	Non-insulin dependent diabetes mellitus with nephropathy	420279001	0	1	0
649	a356121018	200	Diabetic severe hyperglycaemia	237621004	0	0	1
650	a3319861000006118	200	Diabetic autonomic neuropathy	50620007	0	0	1
651	a3209441000006114	200	Diabetes mellitus type 2	44054006	0	1	0
652	a736911000000111	200	Excluded from diabetic retinopathy screening as blind	3.75E+14	0	0	1
653	a1856661000006112	200	Diabetes treatment type	1.86E+15	0	0	1
654	a2262341000000113	200	Conversion to insulin in secondary care	8.76E+14	0	1	0
655	a7257031000006118	200	Does rotate site of insulin injection	441922002	0	0	1
656	a1694811000006118	200	Insulin administration education	1.69E+15	0	0	1
657	a1696331000006114	200	Diabetic dermopathy	238982009	0	0	1
658	a7565341000006118	200	Diabetes clinic	702706001	0	0	1
659	a7098211000006116	200	Dietary education for type 1 diabetes mellitus	429094000	1	0	0
660	a719531000006118	200	Malnutrition related diabetes mellitus	75524006	0	0	1
661	a8120431000006115	200	Mild nonproliferative retinopathy due to secondary diabetes mellitus	3.69E+14	0	0	1
662	a14072461000006116	200	Neuropathy due to diabetes mellitus	230572002	0	0	1
663	a292541011	200	Type 1 diabetes mellitus with gangrene	420825003	1	0	0
664	a14072591000006111	200	Disorder of macula due to diabetes mellitus	232020009	0	0	1
665	a7828041000006115	200	Diabetic retinal eye exam	722161008	0	0	1
666	a845341000006111	200	Diabetes: shared care in pregnancy - diabetologist and obstetrician	2.45E+13	0	0	1
667	a5634901000006116	200	Diabetic foot	280137006	0	0	1
668	a2160090014	200	Diabetes mellitus induced by non-steroid drugs	408540003	0	1	0
669	a857691000006119	200	Right diabetic foot active ulceration	8.58E+14	0	0	1
670	a292540012	200	Type 1 diabetes mellitus with ulcer	190368000	1	0	0
671	a292589019	200	Type II diabetes mellitus - poor control	443694000	0	1	0
672	a12734341000006113	200	QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation using preferred method of communication	1.43E+14	0	0	1
673	a309738018	200	Diabetic cheiropathy	201723002	0	0	1
674	a856661000006112	200	Left diabetic foot active ulceration	8.57E+14	0	0	1
675	a910211000006114	200	[RFC] Diabetic health promotion	9.10E+14	0	0	1
676	a8232101000006117	100	Referral to type I diabetes structured education programme	7.54E+14	1	0	0
677	a1233307015	100	Wolfram syndrome	70694009	0	0	1
678	a967701000006116	100	Lipoatrophic diabetes mellitus	127012008	0	0	1
679	a2817479019	100	Hyperglycaemic crisis in diabetes mellitus	441656006	0	0	1
680	a13761000006115	100	Other specified diabetes mellitus with neurological comps	422088007	0	0	1
681	a857431000006116	100	Right diabetic maculopathy	8.57E+14	0	0	1
682	a857411000006110	100	Right proliferative diabetic retinopathy	8.57E+14	0	0	1
683	a938331000006118	100	Exudative maculopathy with type 2 diabetes mellitus	421779007	0	1	0
684	a292484010	100	Hyperosmolar coma associated with diabetes mellitus	422126006	0	1	0
685	a292489017	100	Diabetes mellitus NOS with ketoacidotic coma	420422005	0	0	1
686	a292495016	100	Other specified diabetes mellitus with renal complications	127013003	0	0	1
687	a292565014	100	Diabetes mellitus with multiple complications	3.85E+14	0	0	1
688	a292606016	100	Malnutrition-related diabetes mellitus with ketoacidosis	190406000	1	0	0
689	a2549896013	100	O/E - sight threatening diabetic retinopathy	417677008	0	0	1
690	a8098261000006110	100	Attended dose adjustment for normal eating diabetes structured education programme	3.06E+14	0	0	1
691	a305158015	100	Diabetic glomerulopathy	309426007	0	0	1
692	a281161000006114	100	Non-insulin depend diabetes mellitus with diabetic cataract	420756003	0	1	0
693	a8098291000006119	100	Dose adjustment for normal eating diabetes structured education programme completed	3.06E+14	0	0	1
694	a8098221000006116	100	Attended expert patient education versus routine treatment diabetes structured education programme	3.06E+14	0	0	1
695	a301611000000118	100	Diabetes monitoring lower risk albumin excretion	1.99E+14	0	0	1
696	a1673601000006110	100	Ineligibility for diabetic eye screening: Terminal illness	1.67E+15	0	0	1
697	a8099221000006113	100	Did not complete expert patient education versus routine treatment diabetes structured education programme	3.07E+14	0	0	1
698	a6613341000006113	100	Diabetic monitoring - injection sites abnormal	398871001	0	0	1
699	a14500431000006116	100	Haemoglobin A1c greater than 10 percent indicating poor diabetic control	165681007	0	0	1
700	a1013661000006110	100	Adverse reaction to Drugs Used In Diabetes	1.01E+15	0	0	1
701	a1013691000006119	100	Adverse reaction to Intermediate And Long Acting Insulin Preparations	1.01E+15	0	0	1
702	a6515391000006110	100	On examination - no right diabetic retinopathy	390850007	0	0	1
703	a6515431000006116	100	On examination - no left diabetic retinopathy	390853009	0	0	1
704	a8239391000006115	100	Insulin/carbohydrate ratio - lunch	7.68E+14	0	0	1
705	a8239401000006118	100	Insulin/carbohydrate ratio - breakfast	7.68E+14	0	0	1
706	a8239371000006116	100	Insulin/carbohydrate ratio - evening meal	7.68E+14	0	0	1
707	a913591000006110	100	Skin ulcer associated with diabetes mellitus	422183001	0	0	1
708	a913531000006111	100	Insulin dependent diabetes mellitus with multiple complicat	3.85E+14	0	0	1
709	a2288011000000114	100	Type I diabetes mellitus in remission	703137001	1	0	0
711	a14058811000006115	100	Pancreatogenic type 3c diabetes mellitus	51002006	0	0	1
712	a7567351000006110	100	Diabetes in pregnancy clinic	702849009	0	0	1
713	a8012091000006113	100	Type II diabetes on diet only	2.45E+13	0	1	0
714	a2380481000000115	100	Enquiry about diabetic erectile dysfunction declined	9.29E+14	0	0	1
715	a13949591000006110	100	No diabetic retinopathy of right eye	860707009	0	0	1
716	a13949711000006112	100	Diabetic maculopathy of bilateral eyes present	860712005	0	0	1
717	a468191000006114	100	Adverse reaction to insulins and antidiabetic agents	430400006	0	0	1
718	a1784711000006118	100	Professional judgement not to engage patient with insulin alert requirements	8.06E+14	0	0	1
719	a9986011	100	Drug-induced diabetes mellitus	5368009	0	0	1
720	a2249871000000113	100	In-house diabetic foot screening first appointment	8.71E+14	0	0	1
721	a14233341000006113	100	Diabetes care plan	1.36E+15	0	0	1
722	a1763361000006116	100	Participant in ASCEND(A Study of Cardiovascu.Events in Diabetes)	1.76E+15	0	0	1
723	a8082941000006118	100	Attended DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme	2.77E+14	0	0	1
724	a913501000006115	100	Insulin-dependent diabetes mellitus with neurological comps	422088007	0	0	1
725	a306113018	100	"Pre-existing diabetes mellitus, non-insulin-dependent"	199230006	0	1	0
726	a1987971000006114	100	X-PERT First Steps diabetes self-management programme completed	1.03E+15	0	0	1
727	a1960621000006117	100	Diabetic foot examination - no action required	1.96E+15	0	0	1
728	a14059421000006119	100	Proliferative retinopathy due to diabetes mellitus	59276001	0	0	1
729	a84761000006119	100	Type I diabetes mellitus with neuropathic arthropathy	7.18E+13	1	0	0
730	a616661000006114	100	"Diabetes mellitus, juvenile type, with renal manifestation"	421893009	1	0	0
731	a913511000006117	100	Type 1 diabetes mellitus with neurological complications	421468001	1	0	0
732	a72651000006114	100	Unstable insulin dependent diabetes mellitus	11530004	0	0	1
733	a459162010	100	Insulin dependent diabetes mellitus with hypoglycaemic coma	237632004	0	0	1
734	a84991000006112	100	Type II diabetes mellitus with retinopathy	422034002	0	1	0
735	a84871000006117	100	Cataract due to diabetes mellitus type 2	420756003	0	1	0
736	a8267081000006115	100	Diabetes monitoring injection site not checked	8.19E+14	0	0	1
737	a84621000006117	100	Type 2 diabetes mellitus with retinopathy	422034002	0	1	0
738	a787101000006114	100	IDDM with peripheral circulatory disorder	421895002	0	0	1
739	a771391000006117	100	Insulin dependent diabetes mellitus with nephropathy	127013003	0	0	1
740	a616681000006116	100	"Diabetes mellitus, juvenile, + other specified manifestation"	73211009	1	0	0
741	a616671000006119	100	"Diabetes mellitus, juvenile, + neurological manifestation"	421468001	1	0	0
742	a84561000006110	100	Type 2 diabetes mellitus with neurological complications	421326000	0	1	0
743	a1968641000006114	90	"Maturity-onset diabetes of the young, type 5"	609572000	0	0	1
744	a733161000000116	90	Impaired vision due to diabetic retinopathy	3.73E+14	0	0	1
745	a6630561000006115	90	Diabetic macular oedema not clinically significant	399864000	0	0	1
746	a13771000006110	90	Other specified diabetes mellitus with ophthalmic complicatn	25093002	0	0	1
747	a5095031000006114	90	Microalbuminuric diabetic nephropathy	236499007	0	0	1
748	a84811000006114	90	Type I diabetes mellitus with retinopathy	420789003	1	0	0
749	a84401000006113	90	Type 1 diabetes mellitus with ophthalmic complications	739681000	1	0	0
750	a5110071000006112	90	Hypoglycaemic event in diabetes	237632004	0	0	1
751	a13949561000006119	90	No diabetic retinopathy of left eye	860706000	0	0	1
752	a913811000006115	90	Type 1 diabetes mellitus with polyneuropathy	713705003	1	0	0
753	a281211000006117	90	Gangrene associated with type 2 diabetes mellitus	421631007	0	1	0
754	a457156014	90	[V]Admitted for conversion to insulin	8.76E+14	0	1	0
755	a8275381000006118	90	Endocrinology and diabetes	8.29E+14	0	0	1
756	a8099341000006113	90	Did not attend expert patient education versus routine treatment diabetes structured education programme	3.07E+14	0	0	1
757	a8012061000006117	90	Type 2 diabetic on insulin	2.45E+13	0	1	0
758	a914311000006114	90	Type II diabetes mellitus with diabetic cataract	420756003	0	1	0
759	a2906401000006113	90	Diabetic retinal microaneurysm	25412000	0	0	1
760	a8082951000006116	90	Attended diabetes education and self management for ongoing and newly diagnosed structured programme	2.77E+14	0	0	1
761	a928491000006110	90	Type I diabetes mellitus with persistent microalbuminuria	401110002	1	0	0
762	a14920101000006117	90	Diabetic digital retinal screening image quality of left eye ungradable	1.60E+15	0	0	1
763	a14920041000006119	90	NHS (National Health Service) DES (diabetic eye screening) programme	1.60E+15	0	0	1
764	a4808881000006117	90	Diabetic hand syndrome	201723002	0	0	1
765	a914271000006114	90	Type II diabetes mellitus with nephropathy	420279001	0	1	0
766	a6516331000006118	80	DNA - Did not attend diabetic clinic	390922008	0	0	1
767	a12224731000006112	80	Moderate non-proliferative diabetic retinopathy	312904009	0	0	1
768	a468181000006111	80	Insulin adverse reaction	293177002	0	0	1
769	a12734771000006118	80	Declined to register for access to online diabetes self-management application	1.44E+14	0	0	1
770	a457325013	80	Type I diabetes mellitus without complication	313435000	1	0	0
771	a914161000006114	80	Type II diabetes mellitus with retinopathy	422034002	0	1	0
772	a2249991000000118	80	Discharge from in-house diabetic foot screening	8.71E+14	0	0	1
773	a330806013	80	Adverse reaction to insulins and antidiabetic agents NOS	430400006	0	0	1
774	a14920121000006110	80	Diabetic digital retinal screening image quality of right eye ungradable	1.60E+15	0	0	1
775	a84641000006112	80	Type 2 diabetes mellitus without complication	313436004	0	1	0
776	a8098351000006119	80	Expert patient education versus routine treatment diabetes structured education programme completed	3.07E+14	0	0	1
777	a771501000006119	80	Insulin-dependent diabetes mellitus with renal complications	127013003	0	0	1
778	a616611000006111	80	Disorder due to type 1 diabetes mellitus	420868002	1	0	0
779	a857981000006113	80	Right preproliferative diabetic retinopathy	8.58E+14	0	0	1
780	a84631000006119	80	Type 2 diabetes mellitus with ulcer	190389009	0	1	0
781	a771331000006116	70	Insulin dependent diabetes mellitus with arthropathy	39710007	0	0	1
782	a7812121000006117	70	Diabetic retinopathy of eye not detected	721103006	0	0	1
783	a8099331000006115	70	Did not attend DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme	3.07E+14	0	0	1
784	a881471000006115	70	Diabetes with coma	26298008	0	0	1
785	a14071361000006118	70	Preproliferative retinopathy due to diabetes mellitus	193349004	0	0	1
786	a429972014	70	Unstable insulin dependent diabetes mellitus	11530004	0	0	1
787	a293756010	70	[X]Other specified diabetes mellitus	73211009	0	0	1
788	a84501000006114	70	Type 2 diabetes mellitus with diabetic cataract	420756003	0	1	0
789	a913671000006113	70	Type I diabetes mellitus with retinopathy	420789003	1	0	0
790	a292483016	70	"Diabetes mellitus, adult onset, with hyperosmolar coma"	190331003	0	1	0
791	a928591000006114	70	Type II diabetes mellitus with ketoacidosis	421750000	0	1	0
792	a1667891000000113	70	Hyperosmolar non-ketotic state in type II diabetes mellitus	395204000	0	1	0
793	a6022621000006116	70	Moderate nonproliferative diabetic retinopathy	312904009	0	0	1
794	a8043321000006114	60	Hyperlipidaemia due to type 1 diabetes mellitus	1.38E+14	1	0	0
795	a6843971000006117	60	Attended diabetes structured education program	413597006	0	0	1
796	a1704771000006111	60	Excluded from diabetic retinopathy screening as no current contact details	3.75E+14	0	0	1
797	a8099161000006114	60	Did not complete diabetes education and self management for ongoing and newly diagnosed structured programme	3.07E+14	0	0	1
799	a454093011	60	HONKS - Diabetic hyperosmolar non-ketotic state	310505005	0	1	0
800	a1100981000006112	60	Adverse reaction to Codeine Linctus Diabetic	1.10E+15	0	0	1
801	a771481000006112	60	Insulin-dependent diabetes mellitus with neurological comps	422088007	0	0	1
802	a7966561000006111	60	Mixed hyperlipidaemia due to type 2 diabetes mellitus	7.01E+11	0	1	0
803	a2288041000000110	60	Type 1 diabetes mellitus in remission	703137001	1	0	0
804	a280511000006113	60	Non-insulin dependent diabetes mellitus with hypoglyca coma	719216001	0	1	0
805	a8243411000006117	60	Referral to DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme declined	7.81E+14	0	0	1
806	a771421000006113	60	Insulin dependent diabetes mellitus with ulcer	422183001	0	0	1
