MedCodeId	Observations	Term	SnomedCTConceptId	Classification
a3300611000006113	1	Vitamin B>12< deficiency anemia	b49472006	
a7684021000006118	1	Microcytic anaemia with liver iron overload	b711161006	
a7615371000006117	1	Anaemia in end stage renal disease	b707324008	
a290745100000611	1	Sickle cell anaemia with haemoglobin D disease	b25472008	Inherited
a7615361000006112	1	Anemia in chronic kidney disease	b707323002	
a6888471000006113	1	Sickle cell disease without crisis	b416180004	Inherited
a550095100000611	1	Anaemia due to acute blood loss	b267530009	
a5500971000006117	1	Acute post-haemorrhagic anaemia	b267530009	
a459224100000611	1	Hemoglobin very low	b165396004	
a2992581000006115	1	Fanconi anemia	b30575002	Inherited
a4575651000006113	1	On examination - equivocally anaemic	b164141009	
a4575611000006112	1	On examination - not clinically anemic	b164140005	
a3495381000006114	1	Hemolytic anemia	b61261009	
a4417991000006119	1	Refractory anemia with ringed sideroblasts	b128846006	
a4761651000006115	1	Secondary cold-type hemolytic anemia	b191212002	
a2541821000006111	1	Leukoerythroblastic anemia	b2694001	
a3671111000006111	1	Blackfan-Diamond anemia	b71988008	
a5063211000006112	1	Iron deficiency without anemia	b234340006	
a3910081000006117	1	beta^0^ Thalassaemia	b86715000	Inherited
a4418081000006115	1	Refractory anaemia with excess blasts in transformation	b128848007	
a4393161000006112	1	Secondary autoimmune haemolytic anaemia	b127050002	
a6614341000006111	1	Cold type haemolytic anaemia	b398937006	
a3726951000006114	1	Homozygous thalassemia	b75451007	Inherited
a813821000006118	1	Haemolytic anaemia due to glutathione metabolism disorder OS	b191170009	
a5094671000006117	1	Fanconi-like syndrome	b236469003	
a4529351000006119	1	Family history: Thalassemia	b160319008	Inherited
a4575711000006116	1	On examination - profoundly anemic	b164143007	
a2541791000006119	1	Myelophthisic anaemia	b2694001	
a2541841000006116	1	Anaemia associated with marrow infiltration	b2694001	
a3527196013	1	Anemia due to metabolic disorder	b737220002	
a399217012	1	Constitutional aplastic anaemia with malformation	b267524009	
a3304631000006114	1	Anaemia of chronic renal insufficiency	b49708008	
a3358711000006111	1	CDA - Congenital dyserythropoietic anaemia	b52951008	Inherited
a3216161000006112	1	Normocytic hypochromic anaemia	b44452003	
a3467221000006113	1	Congenital dyserythropoietic anaemia type I	b59548005	Inherited
a3362131000006113	1	Megaloblastic anemia	b53165003	
a3408101000006111	1	Acquired aplastic anemia	b55907008	
a5914361000006111	1	Normocytic anemia following acute bleed	b303060002	
a2808521000006111	1	Heterozygous thalassemia	b19442009	Inherited
a3186721000006116	1	Congenital haemolytic anaemia	b42601008	Inherited
a3070821000006114	1	Sickle cell haemoglobin C	b35434009	Inherited
a307071100000611	1	Sickle cell-hemoglobin C disease	b35434009	Inherited
