MedCodeId	Observations	Term	chronic_kidney_disease_3_to_5
a7966641000006113	6	Chronic kidney disease stage 4 due to type 2 diabetes mellitus	chronic_kidney_disease_3_to_5
a5094171000006114	5	End stage renal failure with renal transplant	chronic_kidney_disease_3_to_5
a8040681000006112	4	Chronic kidney disease stage 3 due to hypertension	chronic_kidney_disease_3_to_5
a7966691000006116	4	Chronic kidney disease stage 3 due to type 2 diabetes mellitus	chronic_kidney_disease_3_to_5
a8104451000006111	4	CKD (chronic kidney disease) stage 4 with proteinuria	chronic_kidney_disease_3_to_5
a3973811000006118	4	Chronic renal failure syndrome	chronic_kidney_disease_3_to_5
a2002971000006118	3	Chronic kidney disease 4 monthly review	chronic_kidney_disease_3_to_5
a8030421000006114	3	Hypertensive heart AND chronic kidney disease stage 4	chronic_kidney_disease_3_to_5
a2002961000006113	2	Chronic kidney disease 3 monthly review	chronic_kidney_disease_3_to_5
a7966611000006114	2	Chronic kidney disease stage 5 due to type 2 diabetes mellitus	chronic_kidney_disease_3_to_5
a8104231000006115	2	CKD (chronic kidney disease) stage 3 with proteinuria	chronic_kidney_disease_3_to_5
a8104301000006115	2	CKD (chronic kidney disease) stage 3A with proteinuria	chronic_kidney_disease_3_to_5
a8104381000006112	2	CKD (chronic kidney disease) stage 3B with proteinuria	chronic_kidney_disease_3_to_5
a5094141000006118	2	Acute on chronic renal failure	chronic_kidney_disease_3_to_5
a8030431000006112	1	Hypertensive heart AND chronic kidney disease stage 3	chronic_kidney_disease_3_to_5
a8030441000006119	1	Hypertensive heart AND chronic kidney disease stage 2	chronic_kidney_disease_3_to_5
a8030451000006117	1	Hypertensive heart AND chronic kidney disease stage 1	chronic_kidney_disease_3_to_5
a8027491000006113	1	Chronic kidney disease stage 5 due to type 1 diabetes mellitus	chronic_kidney_disease_3_to_5
a8345931000006110	1	Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3	chronic_kidney_disease_3_to_5
a8346021000006117	1	Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2	chronic_kidney_disease_3_to_5
a8104261000006112	1	CKD (chronic kidney disease) stage 3 without proteinuria	chronic_kidney_disease_3_to_5
a7615371000006117	1	Anaemia in end stage renal disease	chronic_kidney_disease_3_to_5
a7043231000006112	1	Chronic progressive renal failure	chronic_kidney_disease_3_to_5
a3973841000006119	1	CRF - Chronic renal failure	chronic_kidney_disease_3_to_5
a5120131000006116	1	Aspiration of chronic ambulatory peritoneal dialysis catheter	chronic_kidney_disease_3_to_5
